Index,Chess Index,Name,Live Value,Min Value,Max Value,Mean Value,StdDev Value,Top1 Core ID,Top1 Strength,Top1 Quality,Top2 Core ID,Top2 Strength,Top2 Quality,Top3 Core ID,Top3 Strength,Top3 Quality,Top4 Core ID,Top4 Strength,Top4 Quality
288,A36,"",0.903,0.903,1.806,0.903,0.013,25,0.138,1.000,8,0.123,1.000,13,0.109,1.000,14,0.104,1.000
289,B36,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
290,C36,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
291,D36,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
292,E36,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
293,F36,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
294,G36,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
295,H36,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
296,A37,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
297,B37,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
298,C37,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
299,D37,"",0.903,0.903,1.806,0.903,0.012,25,0.147,1.000,8,0.123,1.000,13,0.109,1.000,14,0.104,1.000
300,E37,"",0.903,0.903,1.806,0.903,0.012,25,0.147,1.000,8,0.123,1.000,13,0.109,1.000,14,0.104,1.000
301,F37,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
302,G37,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
303,H37,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
304,A38,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
305,B38,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
306,C38,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
307,D38,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
308,E38,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
309,F38,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
310,G38,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
311,H38,"",32.000,32.000,64.000,32.053,1.299,15,0.109,1.000,13,0.094,1.000,1,0.092,1.000,18,0.089,1.000
312,A39,"",32.000,32.000,64.000,32.053,1.299,15,0.109,1.000,13,0.094,1.000,1,0.092,1.000,18,0.089,1.000
313,B39,"",5.500,5.500,11.000,5.509,0.222,15,0.110,1.000,1,0.100,1.000,13,0.095,1.000,18,0.090,1.000
314,C39,"",4.000,4.000,8.000,4.007,0.162,15,0.110,1.000,1,0.100,1.000,13,0.095,1.000,18,0.090,1.000
315,D39,"",0.039,0.000,0.137,0.026,0.015,1,0.111,1.000,0,0.078,1.000,4,0.042,1.000,13,0.039,1.000
316,E39,"",0.000,0.000,5.475,0.000,0.027,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
317,F39,"",0.025,0.000,4.864,0.092,0.227,0,0.106,1.000,10,0.060,1.000,20,0.060,1.000,11,0.052,1.000
318,G39,"",0.000,0.000,0.012,0.000,0.000,10,0.123,1.000,2,0.078,1.000,11,0.050,1.000,31,0.000,1.000
319,H39,"",350.000,350.000,350.000,350.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
320,A40,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
321,B40,"",0.900,0.900,0.900,0.900,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
322,C40,"",77.750,60.000,93.125,68.034,4.177,1,0.186,1.000,0,0.147,1.000,20,0.097,1.000,30,0.076,1.000
323,D40,"",1.255,1.075,1.440,1.327,0.061,0,0.167,1.000,1,0.063,1.000,8,0.039,1.000,27,0.020,1.000
324,E40,"",4.925,4.400,5.350,5.074,0.139,0,0.158,1.000,1,0.066,1.000,30,0.034,1.000,8,0.026,1.000
325,F40,"",1.389,0.109,27.798,1.683,2.528,0,0.088,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
326,G40,"",4.925,4.411,10.534,5.079,0.244,1,0.105,1.000,15,0.081,1.000,13,0.077,1.000,18,0.070,1.000
327,H40,"",1.241,0.918,2.743,1.313,0.081,0,0.124,1.000,1,0.097,1.000,15,0.063,1.000,13,0.061,1.000
328,A41,"",0.650,0.650,2.728,0.833,0.275,0,0.187,1.000,1,0.093,1.000,2,0.069,1.000,13,0.058,1.000
329,B41,"",0.010,0.010,0.055,0.010,0.001,1,0.693,1.000,30,0.316,1.000,15,0.070,1.000,23,0.000,1.000
330,C41,"",0.010,0.010,0.020,0.010,0.000,1,0.112,1.000,15,0.103,1.000,13,0.097,1.000,18,0.092,1.000
331,D41,"",76.026,68.689,199.559,75.800,7.007,0,0.108,1.000,30,0.016,1.000,23,0.000,1.000,18,0.000,1.000
332,E41,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
333,F41,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
334,G41,"",0.000,0.000,200.000,81.497,37.230,0,0.183,1.000,1,0.070,1.000,2,0.028,1.000,30,0.027,1.000
335,H41,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
336,A42,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
337,B42,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
338,C42,"",1000.000,1000.000,1000.000,1000.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
339,D42,"",500.000,500.000,500.000,500.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
340,E42,"",76.766,38.682,197.932,52.913,14.135,0,0.133,1.000,1,0.112,1.000,2,0.048,1.000,4,0.044,1.000
341,F42,"",100.000,43.768,200.000,99.546,6.103,15,0.075,1.000,18,0.053,1.000,12,0.044,1.000,31,0.018,1.000
342,G42,"",0.253,0.000,14.137,1.335,1.263,0,0.142,1.000,16,0.122,1.000,21,0.028,1.000,30,0.000,1.000
343,H42,"",8.169,0.000,15.459,3.078,2.168,0,0.106,1.000,3,0.103,1.000,1,0.102,1.000,5,0.094,1.000
344,A43,"",1.243,0.000,14.095,1.871,1.360,1,0.121,1.000,2,0.109,1.000,18,0.098,1.000,30,0.070,1.000
345,B43,"",2.733,0.000,15.202,3.283,2.093,1,0.213,1.000,0,0.138,1.000,2,0.100,1.000,3,0.086,1.000
346,C43,"",2.409,0.000,14.924,2.348,1.197,4,0.144,1.000,1,0.122,1.000,20,0.096,1.000,30,0.070,1.000
